Table Product Code,Page,Product Code,Nominal Conductor Area (mm2),Nominal Conductor Diameter (mm),Nominal Insulation Thickness (mm),Approx. Cable Diameter (mm),Approx. Mass (kg/100m),Max. Pulling Tension on Conductor (kN),Max. Pulling Tension on Stocking Grip (kN),Min. Bending Radius*: During Installation (mm),Min. Bending Radius*: Set in Position (mm),"Max. Conductor Resistance, dc at 200C (Ω/km)","Conductor Resistance, ac at 900C & 50Hz (Ω/km)","Inductance, Trefoil Touching (mH/km)","Inductive Reactance, Trefoil Touching at 50Hz (Ω/km)",Zero Seq. Impedance at 200C & 50Hz (Ω/km),"Capacitance, Phase to Earth (μF/km)",Min. Insulation Resistance at 200C (MΩ.km),Electric Stress at Conductor Screen (kV/mm),Charging Current at Rated Voltage & 50Hz (A/phase/km),Short Circuit Rating,Continuous Current Rating,Inductance (mH/km),"Inductive Reactance, at 50Hz (Ω/km)",Max. Pulling Tension on Conductors (kN),Max. Pulling Tension on Armour Wires (kN),"Inductive, Trefoil Touching (mH/km)","Inductive Reactance, (Ω/km)"
3CALX3HD,17,,70,9.8,2.0,44.8,205,11,7.0,810,540,0.443,0.568,,,1.70+ j0.0542,0.449,"5,700",1.11,0.268,6.6,185,0.321,0.101,,,,
3CALX3HD,17,,95,11.5,2.0,48.6,255,14,8.3,880,580,0.320,0.411,,,1.26+ j0.0499,0.509,"5,000",1.09,0.304,9.0,225,0.307,0.0964,,,,
3CALX3HD,17,,120,12.9,2.0,51.8,290,18,9.4,930,620,0.253,0.325,,,1.09+ j0.0472,0.556,"4,600",1.08,0.332,11.3,255,0.298,0.0935,,,,
3CALX3HD,17,,150,14.2,2.0,54.9,330,23,11,990,660,0.206,0.265,,,1.05+ j0.0449,0.604,"4,200",1.07,0.360,14.2,285,0.290,0.0910,,,,
3CALX3HD,17,,185,16.0,2.0,58.8,375,25,12,1060,710,0.164,0.211,,,1.01+ j0.0416,0.665,"3,800",1.06,0.397,17.5,320,0.279,0.0875,,,,
3CALX3HD,17,,240,18.1,2.0,63.9,445,25,14,1150,770,0.125,0.162,,,0.967+ j0.0391,0.740,"3,400",1.05,0.442,22.7,375,0.270,0.0849,,,,
3CALX3HD,17,,300,20.6,2.0,69.5,520,25,17,1250,830,0.100,0.130,,,0.942+ j0.0368,0.827,"3,000",1.03,0.494,28.3,420,0.262,0.0824,,,,
3CALX3LDA,18,3CALX3LDA,25,6.1,2.0,43.0,270,,3.8,770,520,1.20,1.54,,,4.84+ j0.0721,0.317,"8,300",1.19,0.189,2.4,110,0.381,0.120,3.8,7.4,,
3CALX3LDA,18,,35,7.1,2.0,45.4,300,,5.3,820,550,0.868,1.11,,,3.60+ j0.0668,0.354,"7,300",1.16,0.212,3.3,125,0.363,0.114,5.3,8.3,,
3CALX3LDA,18,,50,8.1,2.0,49.6,375,,7.5,890,590,0.641,0.822,,,3.37+ j0.0626,0.390,"6,600",1.14,0.233,4.7,150,0.349,0.110,7.5,9.8,,
3CALX3LDA,18,,70,9.8,2.0,53.4,425,,10,960,640,0.443,0.568,,,3.18+ j0.0542,0.449,"5,700",1.11,0.268,6.6,185,0.321,0.101,11,11,,
3CALX3LDA,18,,95,11.5,2.0,57.5,485,,12,1040,690,0.320,0.411,,,3.05+ j0.0499,0.509,"5,000",1.09,0.304,9.0,225,0.307,0.0964,14,13,,
3CALX3LDA,18,,120,12.9,2.0,60.9,540,,13,1100,730,0.253,0.325,,,2.78+ j0.0472,0.556,"4,600",1.08,0.332,11.3,255,0.298,0.0935,18,15,,
3CALX3LDA,18,,150,14.2,2.0,64.0,595,,14,1150,770,0.206,0.265,,,2.55+ j0.0449,0.604,"4,200",1.07,0.360,14.2,285,0.290,0.0910,23,17,,
3CALX3LDA,18,,185,16.0,2.0,68.2,665,,16,1230,820,0.164,0.211,,,2.35+ j0.0416,0.665,"3,800",1.06,0.397,17.5,320,0.279,0.0875,25,19,,
3CALX3LDA,18,,240,18.1,2.0,73.4,770,,19,1320,880,0.125,0.162,,,2.18+ j0.0391,0.740,"3,400",1.05,0.442,22.7,375,0.270,0.0849,25,22,,
1CCUX6LD,19,1CCUX6LD,25,6.1,2.5,19.6,70,1.8,1.3,350,240,0.727,0.927,0.459,0.144,1.66+ j0.0761,0.266,"9,700",2.00,0.317,3.6,145,,,,,,
1CCUX6LD,19,,35,7.0,2.5,20.6,80,2.5,1.5,370,250,0.524,0.668,0.439,0.138,1.46+ j0.0710,0.292,"8,800",1.95,0.349,5.0,175,,,,,,
1CCUX6LD,19,,50,8.2,2.5,21.7,90,3.5,1.6,390,260,0.387,0.494,0.418,0.131,1.32+ j0.0660,0.324,"8,000",1.90,0.387,7.2,205,,,,,,
1CCUX6LD,19,,70,9.8,2.5,23.3,115,4.9,1.9,420,280,0.268,0.342,0.386,0.121,1.20+ j0.0575,0.371,"6,900",1.84,0.443,10.0,250,,,,,,
1CCUX6LD,19,,95,11.5,2.5,25.0,140,6.7,2.2,450,300,0.193,0.247,0.367,0.115,1.13+ j0.0530,0.418,"6,100",1.80,0.499,13.6,295,,,,,,
1CCUX6LD,19,,120,12.9,2.5,26.4,165,8.4,2.4,480,320,0.153,0.196,0.352,0.110,1.09+ j0.0491,0.458,"5,500",1.78,0.546,17.2,335,,,,,,
1CCUX6LD,19,,150,14.3,2.5,27.8,190,11,2.7,500,330,0.124,0.159,0.341,0.110,1.06+ j0.0466,0.497,"5,100",1.75,0.593,21.5,375,,,,,,
1CCUX6LD,19,,185,16.1,2.5,29.8,230,13,3.1,540,360,0.0991,0.128,0.331,0.107,1.03+ j0.0439,0.546,"4,600",1.73,0.651,26.5,425,,,,,,
1CCUX6LD,19,,240,18.2,2.6,32.2,285,17,3.6,580,390,0.0754,0.0982,0.320,0.104,1.01+ j0.0417,0.586,"4,300",1.65,0.699,34.3,490,,,,,,
1CCUX6LD,19,,300,20.6,2.8,35.1,350,21,4.3,630,420,0.0601,0.0793,0.313,0.0984,0.995+ j0.0401,0.607,"4,100",1.52,0.725,42.9,550,,,,,,
1CCUX6LD,19,,400,23.5,3.0,39.2,440,25,5.4,700,470,0.0470,0.0633,0.307,0.0965,0.982+ j0.0391,0.651,"3,800",1.41,0.777,57.2,620,,,,,,
1CCUX6LD,19,,500,26.6,3.2,43.1,550,25,6.5,770,520,0.0366,0.0510,0.301,0.0946,0.973+ j0.0375,0.682,"3,700",1.32,0.814,71.5,700,,,,,,
1CCUX6LD,19,,630,30.3,3.2,47.0,685,25,7.7,850,560,0.0283,0.0416,0.293,0.0922,0.965+ j0.0356,0.762,"3,300",1.30,0.910,90.1,780,,,,,,
1CCUX6HD,20,1CCUX6HD,25,6.1,2.5,19.6,75,1.8,1.3,350,240,0.727,0.927,0.459,0.144,1.51+ j0.0761,0.266,"9,700",2.00,0.317,3.6,145,,,,,,
1CCUX6HD,20,,35,7.0,2.5,21.9,95,2.5,1.7,390,260,0.524,0.668,0.451,0.142,1.09+ j0.0736,0.292,"8,800",1.95,0.349,5.0,175,,,,,,
1CCUX6HD,20,,50,8.2,2.5,23.0,120,3.5,1.8,410,280,0.387,0.494,0.431,0.135,0.783+ j0.0684,0.324,"8,000",1.90,0.387,7.2,205,,,,,,
1CCUX6HD,20,,70,9.8,2.5,25.3,160,4.9,2.2,460,300,0.268,0.342,0.403,0.127,0.560+ j0.0608,0.371,"6,900",1.84,0.443,10.0,250,,,,,,
1CCUX6HD,20,,95,11.5,2.5,27.0,185,6.7,2.6,490,320,0.193,0.247,0.383,0.120,0.485+ j0.0560,0.418,"6,100",1.80,0.499,13.6,295,,,,,,
1CCUX6HD,20,,120,12.9,2.5,27.7,210,8.4,2.7,500,330,0.153,0.196,0.362,0.114,0.435+ j0.0510,0.458,"5,500",1.78,0.546,17.2,335,,,,,,
1CCUX6HD,20,,150,14.3,2.5,29.1,240,11,3.0,520,350,0.124,0.159,0.350,0.110,0.406+ j0.0483,0.497,"5,100",1.75,0.593,21.5,370,,,,,,
1CCUX6HD,20,,185,16.1,2.5,31.1,275,13,3.4,560,370,0.0991,0.128,0.340,0.107,0.381+ j0.0456,0.546,"4,600",1.73,0.651,26.5,415,,,,,,
1CCUX6HD,20,,240,18.2,2.6,33.7,335,17,4.0,610,400,0.0754,0.0981,0.330,0.104,0.358+ j0.0432,0.586,"4,300",1.65,0.699,34.3,475,,,,,,
1CCUX6HD,20,,300,20.6,2.8,36.6,395,21,4.7,660,440,0.0601,0.0791,0.322,0.101,0.343+ j0.0415,0.607,"4,100",1.52,0.725,42.9,530,,,,,,
1CCUX6HD,20,,400,23.5,3.0,40.7,485,25,5.8,730,490,0.0470,0.0631,0.315,0.0990,0.330+ j0.0403,0.651,"3,800",1.41,0.777,57.2,595,,,,,,
1CCUX6HD,20,,500,26.6,3.2,44.4,595,25,6.9,800,530,0.0366,0.0508,0.307,0.0965,0.320+ j0.0385,0.682,"3,700",1.32,0.814,71.5,665,,,,,,
1CCUX6HD,20,,630,30.3,3.2,48.3,730,25,8.1,870,580,0.0283,0.0414,0.299,0.0940,0.312+ j0.0366,0.762,"3,300",1.30,0.910,90.1,735,,,,,,
3CCUX6LD,21,3CCUX6LD,25,6.1,2.5,38.3,170,5.3,5.1,690,460,0.727,0.927,,,3.46+ j0.0764,0.267,"9,700",2.00,0.319,3.6,140,0.393,0.124,,,,
3CCUX6LD,21,,35,7.0,2.5,40.5,210,7.4,5.8,730,490,0.524,0.668,,,3.26+ j0.0713,0.293,"8,800",1.95,0.350,5.0,170,0.377,0.118,,,,
3CCUX6LD,21,,50,8.2,2.5,43.2,250,11,6.5,780,520,0.387,0.494,,,3.12+ j0.0662,0.325,"8,000",1.90,0.388,7.2,200,0.360,0.113,,,,
3CCUX6LD,21,,70,9.8,2.5,46.9,320,15,7.7,840,560,0.268,0.342,,,3.00+ j0.0577,0.372,"6,900",1.84,0.444,10.0,245,0.332,0.104,,,,
3CCUX6LD,21,,95,11.5,2.5,50.8,405,20,9.0,910,610,0.193,0.247,,,2.72+ j0.0531,0.420,"6,100",1.80,0.501,13.6,290,0.317,0.0994,,,,
3CCUX6LD,21,,120,12.9,2.5,54.0,485,25,10,970,650,0.153,0.196,,,2.50+ j0.0493,0.459,"5,500",1.78,0.548,17.2,325,0.304,0.0954,,,,
3CCUX6LD,21,,150,14.3,2.5,57.4,575,25,12,1030,690,0.124,0.159,,,2.47+ j0.0467,0.499,"5,100",1.75,0.595,21.5,365,0.295,0.0927,,,,
3CCUX6LD,21,,185,16.1,2.5,61.4,695,25,13,1110,740,0.0991,0.128,,,2.29+ j0.0441,0.548,"4,600",1.73,0.654,26.5,410,0.286,0.0899,,,,
3CCUX6LD,21,,240,18.2,2.6,66.8,880,25,16,1200,800,0.0754,0.0986,,,2.13+ j0.0418,0.588,"4,300",1.65,0.702,34.3,465,0.278,0.0875,,,,
3CCUX6LD,21,,300,20.6,2.8,73.3,1080,25,19,1320,880,0.0601,0.0797,,,1.88+ j0.0402,0.610,"4,100",1.52,0.728,42.9,530,0.273,0.0857,,,,
3CCUX6LDA,22,3CCUX6LDA,25,6.1,2.5,45.4,340,,5.3,820,540,0.727,0.927,,,3.46+ j0.0764,0.267,"9,700",2.00,0.319,3.6,140,0.393,0.124,5.3,8.3,,
3CCUX6LDA,22,,35,7.0,2.5,49.2,435,,7.4,890,590,0.524,0.668,,,3.26+ j0.0713,0.293,"8,800",1.95,0.350,5.0,170,0.377,0.118,7.4,9.7,,
3CCUX6LDA,22,,50,8.2,2.5,51.8,490,,9.4,930,620,0.387,0.494,,,3.12+ j0.0662,0.325,"8,000",1.90,0.388,7.2,200,0.360,0.113,11,11,,
3CCUX6LDA,22,,70,9.8,2.5,55.8,580,,11,1000,670,0.268,0.342,,,3.00+ j0.0577,0.372,"6,900",1.84,0.444,10.0,245,0.332,0.104,15,13,,
3CCUX6LDA,22,,95,11.5,2.5,60.2,695,,13,1080,720,0.193,0.247,,,2.72+ j0.0531,0.420,"6,100",1.80,0.501,13.6,290,0.317,0.0994,20,15,,
3CCUX6LDA,22,,120,12.9,2.5,63.4,790,,14,1140,760,0.153,0.196,,,2.50+ j0.0493,0.459,"5,500",1.78,0.548,17.2,325,0.304,0.0954,25,16,,
3CCUX6LDA,22,,150,14.3,2.5,66.8,900,,16,1200,800,0.124,0.159,,,2.47+ j0.0467,0.499,"5,100",1.75,0.595,21.5,365,0.295,0.0927,25,18,,
3CCUX6LDA,22,,185,16.1,2.5,70.8,1040,,18,1270,850,0.0991,0.128,,,2.29+ j0.0441,0.548,"4,600",1.73,0.654,26.5,410,0.286,0.0899,25,21,,
3CCUX6LDA,22,,240,18.2,2.6,78.0,1340,,21,1400,940,0.0754,0.0986,,,2.13+ j0.0418,0.588,"4,300",1.65,0.702,34.3,465,0.278,0.0875,25,25,,
3CCUX6HD,23,3CCUX6HD,25,6.1,2.5,38.3,175,5.3,5.1,690,460,0.727,0.927,,,3.07+ j0.0764,0.267,"9,700",2.00,0.319,3.6,140,0.393,0.124,,,,
3CCUX6HD,23,,35,7.0,2.5,40.5,220,7.4,5.8,730,490,0.524,0.668,,,2.16+ j0.0713,0.293,"8,800",1.95,0.350,5.0,170,0.377,0.118,,,,
3CCUX6HD,23,,50,8.2,2.5,43.2,275,11,6.5,780,520,0.387,0.494,,,1.56+ j0.0662,0.325,"8,000","1,90",0.388,7.2,200,0.360,0.113,,,,
3CCUX6HD,23,,70,9.8,2.5,46.9,360,15,7.7,840,560,0.268,0.342,,,1.11+ j0.0577,0.372,"6,900",1.84,0.444,10.0,245,0.332,0.104,,,,
3CCUX6HD,23,,95,11.5,2.5,51.0,450,20,9.1,920,610,0.193,0.247,,,1.03+ j0.0531,0.420,"6,100",1.80,0.501,13.6,290,0.317,0.0994,,,,
3CCUX6HD,23,,120,12.9,2.5,54.2,530,25,10,980,650,0.153,0.196,,,0.995+ j0.0493,0.459,"5,500",1.78,0.548,17.2,325,0.304,0.0954,,,,
3CCUX6HD,23,,150,14.3,2.5,57.4,615,25,12,1030,690,0.124,0.159,,,0.966+ j0.0467,0.499,"5,100",1.75,0.595,21.5,370,0.295,0.0927,,,,
3CCUX6HD,23,,185,16.1,2.5,61.4,735,25,13,1110,740,0.0991,0.128,,,0.941+ j0.0441,0.548,"4,600",1.73,0.654,26.5,410,0.286,0.0899,,,,
3CCUX6HD,23,,240,18.2,2.6,67.0,920,25,16,1210,800,0.0754,0.0986,,,0.917+ j0.0418,0.588,"4,300",1.65,0.702,34.3,475,0.278,0.0875,,,,
3CCUX6HD,23,,300,20.6,2.8,73.3,1120,25,19,1320,880,0.0601,0.0797,,,0.902+ j0.0402,0.610,"4,100",1.52,0.728,42.9,530,0.273,0.0857,,,,
3CCUX6HDA,24,3CCUX6HDA,25,6.1,2.5,45.4,345,,5.3,820,540,0.727,0.927,,,3.07+ j0.0764,0.267,"9,700",2.00,0.319,3.6,140,0.393,0.124,5.3,8.3,,
3CCUX6HDA,24,,35,7.0,2.5,49.4,450,,7.4,890,590,0.524,0.668,,,2.16+ j0.0713,0.293,"8,800",1.95,0.350,5.0,170,0.377,0.118,7.4,9.7,,
3CCUX6HDA,24,,50,8.2,2.5,52.0,515,,9.5,940,620,0.387,0.494,,,1.56+ j0.0662,0.325,"8,000",1.90,0.388,7.2,200,0.360,0.113,11,11,,
3CCUX6HDA,24,,70,9.8.,2.5,56.0,625,,11,1010,670,0.268,0.342,,,1.11+ j0.0577,0.372,"6,900",1.84,0.444,10.0,245,0.332,0.104,15,13,,
3CCUX6HDA,24,,95,11.5,2.5,60.2,735,,13,1080,720,0.193,0.247,,,1.03+ j0.0531,0.420,"6,100",1.8,0.501,13.6,290,0.317,0.0994,20,15,,
3CCUX6HDA,24,,120,12.9,2.5,63.4,830,,14,1140,760,0.153,0.196,,,0.995+ j0.0493,0.459,"5,500",1.78,0.548,17.2,325,0.304,0.0954,25,16,,
3CCUX6HDA,24,,150,14.3,2.5,66.8,940,,16,1200,800,0.124,0.159,,,0.966+ j0.0467,0.499,"5,100",1.75,0.595,21.5,370,0.295,0.0927,25,18,,
3CCUX6HDA,24,,185,16.1,2.5,71.0,1080,,18,1280,850,0.0991,0.128,,,0.941+ j0.0441,0.548,"4,600",1.73,0.654,26.5,410,0.286,0.0899,25,21,,
3CCUX6HDA,24,,240,18.2,2.6,78.4,1390,,22,1410,940,0.0754,0.0986,,,0.917+ j0.0418,0.588,"4,300",1.65,0.702,34.3,475,0.278,0.0875,25,25,,
1CCUX3LD,25,1CCUX3LD,25,6.1,2.5,19.6,50,1.3,1.3,350,230,1.20,1.54,0.460,0.144,2.37+ j0.0764,0.265,"9,900",2.00,0.316,2.4,115,,,,,,
1CCUX3LD,25,,35,7.1,2.5,20.6,60,1.8,1.5,370,250,0.868,1.11,0.437,0.137,1.80+ j0.0706,0.295,"8,800",1.94,0.352,3.3,135,,,,,,
1CCUX3LD,25,,50,8.1,2.5,21.6,65,2.5,1.6,390,260,0.641,0.822,0.419,0.132,1.57+ j0.0662,0.323,"8,000",1.90,0.385,4.7,160,,,,,,
1CCUX3LD,25,,70,9.8,2.5,23.3,70,3.5,1.9,420,280,0.443,0.568,0.386,0.121,1.38+ j0.0575,0.371,"6,900",1.84,443,6.6,195,,,,,,
1CCUX3LD,25,,95,11.5,2.5,25,85,4.8,2.2,450,300,0.320,0.411,0.367,0.115,1.25+ j0.0530,0.418,"6,100",1.80,0.499,9.0,230,,,,,,
1CCUX3LD,25,,120,12.9,2.5,26.4,90,6.0,2.4,470,320,0.253,0.325,0.355,0.111,1.19+ j0.0500,0.456,"5,600",1.78,0.545,11.3,260,,,,,,
1CCUX3LD,25,,150,14.2,2.5,27.7,100,7.5,2.7,500,330,0.206,0.265,0.344,0.108,1.14+ j0.0476,0.494,"5,100",1.76,0.59,14.2,295,,,,,,
1CCUX3LD,25,,185,16.0,2.5,29.7,120,9.3,3.1,530,360,0.164,0.211,0.331,0.104,1.10+ j0.0441,0.543,"4,600",1.73,0.648,17.5,330,,,,,,
1CCUX3LD,25,,240,18.1,2.6,32.0,140,12,3.6,580,380,0.125,0.161,0.321,0.101,1.06+ j0.0418,0.582,"4,300",1.65,0.695,22.7,385,,,,,,
1CCUX3LD,25,,300,20.6,2.8,35.1,165,15,4.3,630,420,0.100,0.130,0.313,0.0984,1.03+ j0.0401,0.607,"4,100",1.52,0.725,28.3,435,,,,,,
1CCUX3LD,25,,400,23.5,3.0,39.2,200,20,5.4,700,470,0.0778,0.102,0.309,0.0970,1.01+ j0.0395,0.651,"3,800",1.41,0.777,37.8,495,,,,,,
1CCUX3LD,25,,500,26.6,3.2,43.1,240,25,6.5,770,520,0.0605,0.0803,0.303,0.0950,0.996+ j0.0379,0.682,"3,700",1.32,0.814,47.2,560,,,,,,
1CCUX3LD,25,,630,30.2,3.2,46.9,290,25,7.7,840,560,0.0469,0.0638,0.293,0.0922,0.982+ j0.0357,0.761,"3,300",1.30,0.909,59.5,640,,,,,,
1CALX6HD,26,1CALX6HD,25,6.1,2.5,19.6,50,1.3,1.3,350,230,1.20,1.54,0.460,0.144,2.37+ j0.0764,0.265,"9,900",2.00,0.316,2.4,115,,,,,,
1CALX6HD,26,,35,7.1,2.5,20.6,60,1.8,1.5,370,250,0.868,1.11,0.437,0.137,1.71+ j0.0706,0.295,"8,800",1.94,0.352,3.3,135,,,,,,
1CALX6HD,26,,50,8.1,2.5,22.9,75,2.5,1.8,410,280,0.641,0.822,0.432,0.136,1.24+ j0.0686,0.323,"8,000",1.90,0.385,4.7,160,,,,,,
1CALX6HD,26,,70,9.8,2.5,24.6,95,3.5,2.1,440,300,0.443,0.568,0.397,0.125,0.871+ j0.0597,0.371,"6,900",1.84,0.443,6.6,195,,,,,,
1CALX6HD,26,,95,11.5,2.5,26.3,120,4.8,2.4,470,320,0.320,0.411,0.378,0.119,0.635+ j0.0549,0.418,"6,100",1.80,0.499,9.0,230,,,,,,
1CALX6HD,26,,120,12.9,2.5,27.7,135,6.0,2.7,500,330,0.253,0.325,0.365,0.115,0.535+ j0.0519,0.456,"5,600",1.78,0.545,11.3,260,,,,,,
1CALX6HD,26,,150,14.2,2.5,29.0,150,7.5,3.0,520,350,0.206,0.265,0.354,0.111,0.488+ j0.0493,0.494,"5,100",1.76,0.590,14.2,290,,,,,,
1CALX6HD,26,,185,16.0,2.5,31.0,165,9.3,3.4,560,370,0.164,0.211,0.340,0.107,0.446+ j0.0457,0.543,"4,600",1.73,0.648,17.5,330,,,,,,
1CALX6HD,26,,240,18.1,2.6,33.5,185,12,3.9,600,400,0.125,0.161,0.330,0.104,0.407+ j0.0433,0.582,"4,300",1.65,0.695,22.7,380,,,,,,
1CALX6HD,26,,300,20.6,2.8,36.6,210,15,4.7,660,440,0.100,0.130,0.322,0.101,0.382+ j0.0415,0.607,"4,100",1.52,0.725,28.3,425,,,,,,
1CALX6HD,26,,400,23.5,3.0,40.7,250,20,5.8,730,490,0.0778,0.102,0.317,0.0994,0.360+ j0.0407,0.651,"3,800",1.41,0.777,37.8,480,,,,,,
1CALX6HD,26,,500,26.6,3.2,44.4,285,25,6.9,800,530,0.0605,0.0802,0.309,0.0970,0.343+ j0.0390,0.682,"3,700",1.32,0.814,47.2,545,,,,,,
1CALX6HD,26,,630,30.2,3.2,48.2,335,25,8.1,870,580,0.0469,0.0637,0.299,0.0940,0.330+ j0.0367,0.761,"3,300",1.30,0.909,59.5,610,,,,,,
3CALX6LD,27,3CALX6LD,25,6.1,2.5,38.3,120,3.8,3.8,690,460,1.20,1.54,,,4.84+ j0.0766,0.266,"9,900",2.00,0.317,2.4,110,0.394,0.124,,,,
3CALX6LD,27,,35,7.1,2.5,40.7,140,5.3,5.3,730,490,0.868,1.11,,,3.60+ j0.0709,0.296,"8,800",1.94,0.353,3.3,130,0.375,0.118,,,,
3CALX6LD,27,,50,8.1,2.5,43.1,160,7.5,6.5,780,520,0.641,0.822,,,3.37+ j0.0664,0.324,"8,000",1.90,0.387,4.7,155,0.360,0.113,,,,
3CALX6LD,27,,70,9.8,2.5,46.9,195,11,7.7,840,560,0.443,0.568,,,3.18+ j0.0577,0.372,"6,900",1.84,0.444,6.6,190,0.332,0.104,,,,
3CALX6LD,27,,95,11.5,2.5,50.8,230,14,9.0,910,610,0.320,0.411,,,2.84+ j0.0531,0.420,"6,100",1.80,0.501,9.0,225,0.317,0.0994,,,,
3CALX6LD,27,,120,12.9,2.5,53.9,265,18,10,970,650,0.253,0.325,,,2.60+ j0.0502,0.458,"5,600",1.78,0.547,11.3,255,0.307,0.0964,,,,
3CALX6LD,27,,150,14.2,2.5,57.2,305,23,11,1030,690,0.206,0.265,,,2.55+ j0.0477,0.496,"5,100",1.76,0.592,14.2,285,0.298,0.0937,,,,
3CALX6LD,27,,185,16.0,2.5,61.2,355,25,13,1100,730,0.164,0.211,,,2.35+ j0.0442,0.545,"4,600",1.73,0.650,17.5,320,0.287,0.0901,,,,
3CALX6LD,27,,240,18.1,2.6,66.5,430,25,15,1200,800,0.125,0.162,,,2.18+ j0.0420,0.584,"4,300",1.65,0.697,22.7,370,0.279,0.0876,,,,
3CALX6LD,27,,300,20.6,2.8,73.3,525,25,19,1320,880,0.100,0.130,,,1.92+ j0.0402,0.610,"4,100",1.52,0.728,28.3,420,0.273,0.0857,,,,
3CALX6LDA,28,3CALX6LDA,25,6.1,2.5,45.3,290,,3.8,820,540,1.20,1.54,,,4.84+ j0.0766,0.266,"9,900",2.00,0.317,2.4,110,0.394,0.124,3.8,8.3,,
3CALX6LDA,28,,35,7.1,2.5,49.4,365,,5.3,890,590,0.868,1.11,,,3.60+ j0.0709,0.296,"8,800",1.94,0.353,3.3,130,0.375,0.118,5.3,9.8,,
3CALX6LDA,28,,50,8.1,2.5,51.7,400,,7.5,930,620,0.641,0.822,,,3.37+ j0.0664,0.324,"8,000",1.90,0.387,4.7,155,0.360,0.113,7.5,11,,
3CALX6LDA,28,,70,9.8,2.5,55.8,455,,11,1000,670,0.443,0.568,,,3.18+ j0.0577,0.372,"6,900",1.84,0.444,6.6,190,0.332,0.104,11,13,,
