File Name,Approximate weight (kg/100m),Armour type,Cable flexibility,Cable length (m),Cable exibility,Capacitance (All Main Cores ­ Screen) (µF / km),Capacitance (One Main Core ­ Other & Screen) (µF / km),Capacitance 3 phase operating (µF / km),Colour,Combined earth size section (mm²),Conductor AC resistance at 50 Hz (Ohm/km),Conductor cross-section (mm²),Conductor cross­section (mm²),Conductor flexibility,Conductor material,Conductor shape,Conductor exibility,Diameter over armour (mm),Diameter over screen (mm),Earth conductor cross section (mm²),Inductive reactance at 50 Hz (Ohm/km),Inductive reactance at 50 Hz - flat touching (Ohm/km),Inductive reactance at 50 Hz - trefoil (Ohm/km),Insulation,Insulation resistance at 20°C (MOhm.km),Material of bedding,Max. DC resistance of the conductor at 20°C (Ohm/km),Maximum Pull Tension of Armour (kN),Maximum Pull Tension of Conductor (kN),Maximum Pulling Tension (kN),Minimum Bend Radius - During Installation (under Tension) (mm),Minimum Bend Radius - Installed (mm),Minimum Bend Radius ­ During Installation (under Tension) (mm),Minimum Bend Radius ­ Installed (mm),Nominal diameter over bedding (mm),Nominal insulation thickness (mm),Nominal outer sheath thickness (mm),Nominal overall diameter (mm),Number of cores,Number of earth cores,Outer sheath,Rated Voltage Uo/U (Um) (V),Rated Voltage Uo/U (Um) (kV),Screen,Type of conductor,Type of conductor Compact,Type of conductor Compressed,With Green/Yellow core
Nexans_FTDP23AA003CXRJ.pdf,467.0,,,,Rigid,1.179,0.652,0.786,,48,0.197,,120,,Copper,Circular,Class 2,,39.3,,0.071,,,,290,PVC filler,0.153,,,5.23,,,785,525,,1.2,,43.6,3,3,PVC,,"0,6/1",Copper tape,,,,
Nexans_HNHP09AA004OMAA.pdf,41.0,,Rigid,,,,,,Orange,,5.61,4,,Class 2,Copper,Circular,,,,2.5,0.1,,,V-90,14,,4.61,,1,1.8,92,61,,,,1.0,1.8,15.3,4,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_BDBC19A1001CXNA.pdf,52.0,,Rigid,100,,,,,,,0.638,50,,Class 2,Copper,Circular,,,,,,0.113,0.098,X-90,290,,0.387,,4,1.5,150,100,,,,1.0,1.4,12.9,1,,PVC,,"0,6/1",,,copper,,
Nexans_HNHP13AA004OMAA.pdf,70.0,,Rigid,,,,,,Orange,,2.23,10,,Class 2,Copper,Circular,,,,4,0.088,,,V-90,9.9,,1.83,,3,2.3,120,77,,,,1.0,1.8,19.2,4,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_DNHP09AA002OMAA.pdf,28.0,,Rigid,500,,,,,Orange,,5.61,4,,Class 2,Copper,Circular,,,,2.5,0.102,,,V-90,14,,4.61,,1,1.6,79,52,,,,1.0,1.8,13.1,2,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_HNHP05AA004OMAA.pdf,22.0,,Rigid,,,,,,Orange,,16.5,1.5,,Class 2,Copper,Circular,,,,1.5,0.109,,,V-90,17,,13.6,,0,1.4,71,48,,,,0.8,1.8,11.9,4,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_BDBP15AA001CXNA.pdf,21.0,,Rigid,,,,,,,,1.47,16,,Class 2,Copper,Circular,,,,,,0.122,0.087,X-90,370,,1.15,,1,1.1,56,37,,,,0.8,1.4,9.3,1,,PVC,,"0,6/1",,Stranded copper,,,
Nexans_FNMP07AA003OMAA.pdf,51.1,Steel wires,Rigid,,,,,,Orange,,9.45,2.5,,Class 2,Copper,Circular,,12.7,,2.5,0.102,,,V-90,14,,7.41,3,,2,290,200,,,10.9,0.8,,16.3,3,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_FTHC20AA003OMAA.pdf,247.4,,Rigid,,,,,,Orange,,0.343,70,,Class 2,Copper,Circular,,,,25,0.074,,,X-90,380,,0.268,,15,3.68,368,246,,,,1.1,1.9,30.7,3,1,PVC,,"0,6/1",,,copper,,Yes
Nexans_HNHC22AA004OMAA.pdf,465.0,,Rigid,,,,,,Orange,,0.236,95,,Class 2,Copper,Circular,,,,25,0.077,,,V-90,5.9,,0.193,,25,5,500,340,,,,1.6,2.2,42.0,4,1,PVC,,"0,6/1",,,copper,,Yes
Nexans_BDBC22AA001CXNA.pdf,101.0,,Rigid,,,,,,,,0.327,95,,Class 2,Copper,Circular,,,,,,0.104,0.089,X-90,220,,0.193,,7,2.1,100,69,,,,1.1,1.5,17.2,1,,PVC,,"0,6/1",,,,copper,
Nexans_BDBC17AA001CXNA.pdf,30.0,,Rigid,,,,,,,,0.927,25,,Class 2,Copper,Circular,,,,,,0.122,0.106,X-90,350,,0.727,,2,1.3,130,84,,,,0.9,1.4,10.5,1,,PVC,,"0,6/1",,,copper,,
Nexans_HNMP05AA004CXWW.pdf,46.0,Steel wires,Rigid,,,,,,,,17.3,1.5,,Class 2,Copper,Circular,,12.2,,1.5,0.111,,,V-90,17,PVC filler,13.6,3,,1.9,290,190,,,10.4,0.8,,15.9,4,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_FTDP11AA003CXRJ.pdf,51.4,,,,Rigid,0.515,0.285,0.343,,4.5,3.93,,6,,Copper,Circular,Class 2,,14.2,,0.087,,,,670,PVC filler,3.08,,,1.3,,,320,215,,0.7,,17.9,3,3,PVC,,"0,6/1",Copper tape,,,,
Nexans_DNMP13AA002OMAA.pdf,90.4,Steel wires,Rigid,,,,,,Orange,,2.33,10,,Class 2,Copper,Circular,,17.0,,4,0.0906,,,V-90,9.9,,1.83,6,,2.5,370,250,,,14.5,1.0,,20.6,2,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_BDBP26AA001CXNA.pdf,246.0,,Rigid,,,,,,,,0.099,240,,Class 2,Copper,Circular,,,,,,0.097,0.0818,X-90,220,,0.0754,,17,3.1,310,200,,,,1.7,1.7,25.6,1,,PVC,,"0,6/1",,,copper,,
Nexans_FTDP09AA003CXRJ.pdf,44.3,,,,Rigid,0.435,0.241,0.29,,4.5,5.88,,4,,Copper,Circular,Class 2,,13.3,,0.091,,,,780,PVC filler,4.61,,,0.8,,,305,205,,0.7,,17.0,3,3,PVC,,"0,6/1",Copper tape,,,,
Nexans_FNMP09AA003OMAA.pdf,72.4,Steel wires,Rigid,,,,,,Orange,,5.88,4,,Class 2,Copper,Circular,,15.1,,2.5,0.102,,,V-90,14,,4.61,5,,2.2,340,220,,,12.6,0.8,,18.7,3,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_BDBP24AA001CXNA (1).pdf,152.0,,Rigid,,,,,,,,0.153,150,,Class 2,Copper,Circular,,,,,,0.1,0.084,X-90,220,,0.124,,11,2.6,130,85,,,,1.4,1.6,21.3,1,,PVC,,"0,6/1",,,,copper,
Nexans_FTDC18AA003CXRJ.pdf,161.0,,,,Rigid,0.822,0.455,0.548,,18,0.669,,35,,Copper,Circular,Class 2,,22.5,,0.076,,,,430,PVC filler,0.524,,,3.13,,,470,315,,0.9,,26.1,3,3,PVC,,"0,6/1",Copper tape,,,,
Nexans_DTHP15AA002OMAA.pdf,52.0,,Rigid,,,,,,Orange,,1.47,16,,Class 2,Copper,Circular,,,,6,0.081,,,X-90,520,,1.15,,2,2.06,103,69,,,,0.8,1.8,17.2,2,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_FTHP25AA003OMAA.pdf,651.3,,Rigid,,,,,,Orange,,0.129,185,,Class 2,Copper,Circular,,,,70,0.072,,,X-90,330,,0.099,,25,5.86,586,390,,,,1.6,2.4,48.8,3,1,PVC,,"0,6/1",,,copper,,Yes
Nexans_CNHP07A1002OMAA.pdf,15.9,,Rigid,100,,,,,Orange,,9.01,2.5,,Class 2,Copper,Circular,,,,2.5,0.102,,,V-90,12,,7.41,,0,1.2,59,39,,,,0.7,1.2,9.8,2,1,PVC,450/750,,,Stranded copper,,,Yes
Nexans_FTDP25AA003CXRJ.pdf,703.0,,,,Rigid,1.104,0.611,0.736,,75,0.129,,185,,Copper,Circular,Class 2,,46.4,,0.071,,,,330,PVC filler,0.0991,,,6.14,,,920,615,,1.6,,51.2,3,3,PVC,,"0,6/1",Copper tape,,,,
Nexans_HNHP15AA004OMAA.pdf,98.0,,Rigid,,,,,,Orange,,1.4,16,,Class 2,Copper,Circular,,,,6,0.084,,,V-90,8.4,,1.15,,4,2.6,130,86,,,,1.0,1.8,21.5,4,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_DNHP13AA002OMAA.pdf,43.5,,Rigid,,,,,,Orange,,2.23,10,,Class 2,Copper,Circular,,,,4,0.091,,,V-90,9.9,,1.83,,1,1.9,97,64,,,,1.0,1.8,16.1,2,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_HTHP24AA004OMAA.pdf,665.0,,Rigid,,,,,,Orange,,0.16,150,,Class 2,Copper,Circular,,,,50,0.072,,,X-90,320,,0.124,,,5.9,450,300,,,,1.4,2.4,49.5,5,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_FNHP13AA003OMAA.pdf,56.1,,Rigid,,,,,,Orange,,2.23,10,,Class 2,Copper,Circular,,,,4,0.091,,,V-90,9.9,,1.83,,2,2.1,105,70,,,,1.0,1.8,17.5,3,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_HNMP11AA004OMAA.pdf,97.0,Steel wires,Rigid,,,,,,Orange,,3.93,6,,Class 2,Copper,Circular,,17.7,,2.5,0.097,,,V-90,12,PVC filler,3.08,6,,2.6,390,260,,,15.2,1.0,,21.4,4,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_BDBP30AA001CXNA.pdf,491.0,,Rigid,,,,,,,,0.051,500,,Class 2,Copper,Circular,,,,,,0.095,0.08,X-90,190,,0.037,,25,4.4,330,220,,,,2.2,2.0,37.0,1,,PVC,,"0,6/1",,Stranded copper,,,
Nexans_HNMP07AA004OMAA.pdf,58.0,Steel wires,Rigid,,,,,,Orange,,9.45,2.5,,Class 2,Copper,Circular,,13.7,,2.5,0.102,,,V-90,14,PVC filler,7.41,3,,2.1,310,210,,,11.9,0.8,,17.3,4,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_DTHC17AA002OMAA.pdf,72.0,,Rigid,,,,,,Orange,,0.927,25,,Class 2,Copper,Circular,,,,6,0.081,,,X-90,500,,0.727,,4,2.32,232,154,,,,0.9,1.8,19.3,2,1,PVC,,"0,6/1",,,copper,,Yes
Nexans_FNMP15AA003OMAA.pdf,140.0,Steel wires,Rigid,,,,,,Orange,,1.47,16,,Class 2,Copper,Circular,,21.2,,6,0.0861,,,V-90,8.4,,1.15,9,,3,450,300,,,18.0,1.0,,24.9,3,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_HTHC17AA004OMAA.pdf,124.0,,Rigid,,,,,,Orange,,0.927,25,,Class 2,Copper,Circular,,,,6,0.081,,,X-90,490,,0.727,,,2.7,270,180,,,,0.9,1.8,22.9,5,1,PVC,,"0,6/1",,,copper,,Yes
Nexans_HTHC20AA004OMAA.pdf,320.0,,Rigid,,,,,,Orange,,0.343,70,,Class 2,Copper,Circular,,,,25,0.074,,,X-90,380,,0.268,,,4.1,410,270,,,,1.1,2.0,34.0,5,1,PVC,,"0,6/1",,,copper,,Yes
Nexans_FNHP15AA003OMAA.pdf,78.2,,Rigid,,,,,,Orange,,1.4,16,,Class 2,Copper,Circular,,,,6,0.086,,,V-90,8.4,,1.15,,3,2.4,118,78,,,,1.0,1.8,19.6,3,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_FTDP07AA003CXRJ.pdf,31.3,,,,Rigid,0.36,0.199,0.24,,2.5,9.45,,2.5,,Copper,Circular,Class 2,,10.9,,0.097,,,,930,PVC filler,7.41,,,0.5,,,265,175,,0.7,,14.6,3,1,PVC,,"0,6/1",Copper tape,,,,
Nexans_HNMP13AA004OMAA.pdf,139.0,Steel wires,Rigid,,,,,,Orange,,2.33,10,,Class 2,Copper,Circular,,20.8,,4,0.091,,,V-90,9.9,PVC filler,1.83,9,,2.9,440,290,,,17.6,1.0,,24.4,4,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_FTDP27AA003CXRJ.pdf,1142.0,,,,Rigid,1.188,0.657,0.792,,150,0.081,,300,,Copper,Circular,Class 2,,58.4,,0.07,,,,290,PVC filler,0.0601,,,7.69,,,1155,770,,1.8,,64.1,3,3,PVC,,"0,6/1",Copper tape,,,,
Nexans_FTHC17AA003OMAA.pdf,96.5,,Rigid,,,,,,Orange,,0.927,25,,Class 2,Copper,Circular,,,,6,0.081,,,X-90,500,,0.727,,5,2.5,250,166,,,,0.9,1.8,20.8,3,1,PVC,,"0,6/1",,,copper,,Yes
Nexans_BDBP27AA001CXNA.pdf,306.0,,Rigid,,,,,,,,0.077,300,,Class 2,Copper,Circular,,,,,,0.096,0.081,X-90,200,,0.06,,21,3.5,350,230,,,,1.8,1.8,28.8,1,,PVC,,"0,6/1",,,copper,,
Nexans_HTHC18AA004OMAA.pdf,167.0,,Rigid,,,,,,Orange,,0.669,35,,Class 2,Copper,Circular,,,,10,0.079,,,X-90,430,,0.524,,,3.1,310,200,,,,0.9,1.8,25.5,5,1,PVC,,"0,6/1",,,copper,,Yes
Nexans_FTHC22AA003OMAA.pdf,326.0,,Rigid,,,,,,Orange,,0.248,95,,Class 2,Copper,Circular,,,,25,0.072,,,X-90,330,,0.193,,20,4.1,410,274,,,,1.1,2.0,34.2,3,1,PVC,,"0,6/1",,,copper,,Yes
