File Name,Approximate weight (kg/100m),Armour type,Cable flexibility,Cable length (m),Cable exibility,Capacitance (All Main Cores ­ Screen) (µF / km),Capacitance (One Main Core ­ Other & Screen) (µF / km),Capacitance 3 phase operating (µF / km),Colour,Combined earth size section (mm²),Conductor AC resistance at 50 Hz (Ohm/km),Conductor cross-section (mm²),Conductor cross­section (mm²),Conductor flexibility,Conductor material,Conductor shape,Conductor exibility,Diameter over armour (mm),Diameter over screen (mm),Earth conductor cross section (mm²),Inductive reactance at 50 Hz (Ohm/km),Inductive reactance at 50 Hz - flat touching (Ohm/km),Inductive reactance at 50 Hz - trefoil (Ohm/km),Insulation,Insulation resistance at 20°C (MOhm.km),Material of bedding,Max. DC resistance of the conductor at 20°C (Ohm/km),Maximum Pull Tension of Armour (kN),Maximum Pull Tension of Conductor (kN),Maximum Pulling Tension (kN),Minimum Bend Radius - During Installation (under Tension) (mm),Minimum Bend Radius - Installed (mm),Minimum Bend Radius ­ During Installation (under Tension) (mm),Minimum Bend Radius ­ Installed (mm),Nominal diameter over bedding (mm),Nominal insulation thickness (mm),Nominal outer sheath thickness (mm),Nominal overall diameter (mm),Number of cores,Number of earth cores,Outer sheath,Rated Voltage Uo/U (Um) (V),Rated Voltage Uo/U (Um) (kV),Screen,Type of conductor,Type of conductor Compact,Type of conductor Compressed,With Green/Yellow core
Nexans_DNMP09AA002OMAA.pdf,54.6,Steel wires,Rigid,,,,,,Orange,,5.88,4,,Class 2,Copper,Circular,,13.3,,2.5,0.102,,,V-90,14,,4.61,3,,2,300,200,,,11.5,1.0,,16.9,2,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_DNHP05A5002OMAA.pdf,16.0,,Rigid,500,,,,,Orange,,16.5,1.5,,Class 2,Copper,Circular,,,,1.5,0.111,,,V-90,17,,13.6,,0,1.2,61,40,,,,0.8,1.8,10.1,2,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_HTHC22AA004OMAA.pdf,436.0,,Rigid,,,,,,Orange,,0.248,95,,Class 2,Copper,Circular,,,,25,0.072,,,X-90,320,,0.193,,,4.7,470,310,,,,1.1,2.1,39.3,5,1,PVC,,"0,6/1",,,copper,,Yes
Nexans_FTDP26AA003CXRJ.pdf,919.0,,,,Rigid,1.134,0.627,0.756,,105,0.1,,240,,Copper,Circular,Class 2,,51.6,,0.07,,,,310,PVC filler,0.0754,,,6.83,,,1025,685,,1.7,,56.9,3,3,PVC,,"0,6/1",Copper tape,,,,
Nexans_FTDP24AA003CXRJ.pdf,586.0,,,,Rigid,1.079,0.597,0.719,,75,0.16,,150,,Copper,Circular,Class 2,,41.7,,0.071,,,,330,PVC filler,0.124,,,5.57,,,835,555,,1.4,,46.4,3,3,PVC,,"0,6/1",Copper tape,,,,
Nexans_BDBP32AA001CXNA.pdf,635.0,,Rigid,,,,,,,,0.042,630,,Class 2,Copper,Circular,,,,,,0.094,0.079,X-90,180,,0.028,,25,5,370,250,,,,2.4,2.2,41.4,1,,PVC,,"0,6/1",,Stranded copper,,,
Nexans_BDBP25AA001CXNA.pdf,189.0,,Rigid,,,,,,,,0.123,185,,Class 2,Copper,Circular,,,,,,0.099,0.084,X-90,220,,0.099,,13,2.8,140,94,,,,1.6,1.6,23.5,1,,PVC,,"0,6/1",,,,copper,
Nexans_FNMP05AA003OMAA.pdf,41.8,Steel wires,Rigid,,,,,,Orange,,17.3,1.5,,Class 2,Copper,Circular,,11.3,,1.5,0.111,,,V-90,17,,13.6,3,,1.8,270,180,,,9.5,0.8,,15.0,3,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_DNMP11AA002OMAA.pdf,62.7,Steel wires,Rigid,,,,,,Orange,,3.93,6,,Class 2,Copper,Circular,,14.5,,2.5,0.0967,,,V-90,12,,3.08,4,,2.2,330,220,,,12.7,1.0,,18.1,2,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_HNHC18AA004OMAA.pdf,180.0,,Rigid,,,,,,Orange,,0.638,35,,Class 2,Copper,Circular,,,,10,0.08,,,V-90,7.3,,0.524,,10,3.3,330,220,,,,1.2,1.8,27.2,4,1,PVC,,"0,6/1",,,copper,,Yes
Nexans_DNMP07AA002OMAA.pdf,44.7,Steel wires,Rigid,,,,,,Orange,,9.45,2.5,,Class 2,Copper,Circular,,11.6,,2.5,0.102,,,V-90,14,,7.41,3,,1.8,270,180,,,9.8,0.8,,15.2,2,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_FNMP11AA003OMAA.pdf,84.0,Steel wires,Rigid,,,,,,Orange,,3.93,6,,Class 2,Copper,Circular,,16.3,,2.5,0.0967,,,V-90,12,,3.08,5,,2.4,360,240,,,13.8,1.0,,20.0,3,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_HTHP23AA004OMAA.pdf,543.0,,Rigid,,,,,,Orange,,0.197,120,,Class 2,Copper,Circular,,,,35,0.071,,,X-90,300,,0.153,,,5.4,410,270,,,,1.2,2.3,45.2,5,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_DNHP11AA002OMAA.pdf,33.0,,Rigid,500,,,,,Orange,,3.75,6,,Class 2,Copper,Circular,,,,2.5,0.097,,,V-90,12,,3.08,,1,1.7,84,56,,,,1.0,1.8,14.0,2,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_BDBC18AA001CXNA.pdf,40.0,,Rigid,,,,,,,,0.884,35,,Class 2,Copper,Circular,,,,,,0.118,0.102,X-90,300,,0.524,,2,1.4,140,92,,,,0.9,1.4,11.5,1,,PVC,,"0,6/1",,,copper,,
Nexans_FTDC17AA003CXRJ.pdf,124.0,,,,Rigid,0.737,0.408,0.491,,12,0.927,,25,,Copper,Circular,Class 2,,19.6,,0.077,,,,500,PVC filler,0.727,,,2.8,,,420,280,,0.9,,23.3,3,3,PVC,,"0,6/1",Copper tape,,,,
Nexans_HTHP15AA004OMAA.pdf,89.0,,Rigid,,,,,,Orange,,1.47,16,,Class 2,Copper,Circular,,,,6,0.081,,,X-90,520,,1.15,,,2.4,120,80,,,,0.8,1.8,20.4,5,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_DNMP15AA002OMAA.pdf,105.0,Steel wires,Rigid,,,,,,Orange,,1.47,16,,Class 2,Copper,Circular,,18.9,,6,0.0861,,,V-90,8.4,,1.15,6,,2.7,410,270,,,16.4,1.0,,22.5,2,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_FTDC20AA003CXRJ.pdf,278.0,,,,Rigid,0.923,0.51,0.615,,30,0.343,,70,,Copper,Circular,Class 2,,28.3,,0.074,,,,380,PVC filler,0.268,,,3.88,,,580,390,,1.1,,32.3,3,3,PVC,,"0,6/1",Copper tape,,,,
Nexans_BDBP24AA001CXNA.pdf,152.0,,Rigid,,,,,,,,0.153,150,,Class 2,Copper,Circular,,,,,,0.1,0.084,X-90,220,,0.124,,11,2.6,130,85,,,,1.4,1.6,21.3,1,,PVC,,"0,6/1",,,,copper,
Nexans_DTHC18AA002OMAA.pdf,95.0,,Rigid,,,,,,Orange,,0.669,35,,Class 2,Copper,Circular,,,,10,0.079,,,X-90,430,,0.524,,5,2.58,258,172,,,,0.9,1.8,21.5,2,1,PVC,,"0,6/1",,,copper,,Yes
Nexans_HNHP23AA004OMAA.pdf,573.0,,Rigid,,,,,,Orange,,0.188,120,,Class 2,Copper,Circular,,,,35,0.075,,,V-90,5.2,,0.153,,25,5.7,290,190,,,,1.6,2.4,47.5,4,1,PVC,,"0,6/1",,,copper,,Yes
Nexans_HNMP09AA004OMAA.pdf,83.0,Steel wires,Rigid,,,,,,Orange,,5.88,4,,Class 2,Copper,Circular,,16.3,,2.5,0.102,,,V-90,14,PVC filler,4.61,5,,2.4,360,240,,,13.8,1.0,,20.0,4,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_FTDC19AA003CXRJ.pdf,214.0,,,,Rigid,0.854,0.472,0.569,,30,0.494,,50,,Copper,Circular,Class 2,,25.4,,0.075,,,,410,PVC filler,0.387,,,3.49,,,525,350,,1.0,,29.1,3,3,PVC,,"0,6/1",Copper tape,,,,
Nexans_FNHP05AA003OMAA.pdf,19.0,,Rigid,,,,,,Orange,,16.5,1.5,,Class 2,Copper,Circular,,,,1.5,0.111,,,V-90,17,,13.6,,0,1.3,66,44,,,,0.8,1.8,11.0,3,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_FTHP23AA003OMAA.pdf,417.1,,Rigid,,,,,,Orange,,0.197,120,,Class 2,Copper,Circular,,,,35,0.071,,,X-90,290,,0.153,,25,4.88,366,244,,,,1.2,2.1,40.7,3,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_BDBP23A9001CXNA.pdf,123.0,,Rigid,1000,,,,,,,0.188,120,,Class 2,Copper,Circular,,,,,,0.1,0.084,X-90,210,,0.153,,8,2.4,120,78,,,,1.2,1.5,19.6,1,,PVC,,"0,6/1",,,,copper,
Nexans_BDBP23A9001CXNA (1).pdf,123.0,,Rigid,1000,,,,,,,0.188,120,,Class 2,Copper,Circular,,,,,,0.1,0.084,X-90,210,,0.153,,8,2.4,120,78,,,,1.2,1.5,19.6,1,,PVC,,"0,6/1",,,,copper,
Nexans_FTHP26AA003OMAA.pdf,862.0,,Rigid,,,,,,Orange,,0.1,240,,Class 2,Copper,Circular,,,,95,0.071,,,X-90,310,,0.075,,25,6.56,656,438,,,,1.7,2.6,54.7,3,1,PVC,,"0,6/1",,,copper,,Yes
Nexans_HNMP15AA004OMAA.pdf,166.0,Steel wires,Rigid,,,,,,Orange,,1.47,16,,Class 2,Copper,Circular,,23.1,,6,0.086,,,V-90,8.4,PVC filler,1.15,10,,3.2,480,320,,,19.9,1.0,,26.8,4,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_FTHP24AA003OMAA.pdf,516.5,,Rigid,,,,,,Orange,,0.16,150,,Class 2,Copper,Circular,,,,50,0.072,,,X-90,330,,0.124,,25,5.23,392,262,,,,1.4,2.3,43.6,3,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_HNHP07AA004OMAA.pdf,30.0,,Rigid,,,,,,Orange,,9.01,2.5,,Class 2,Copper,Circular,,,,2.5,0.101,,,V-90,14,,7.41,,1,1.6,80,53,,,,0.8,1.8,13.3,4,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_HTHC19AA004OMAA.pdf,224.0,,Rigid,,,,,,Orange,,0.494,50,,Class 2,Copper,Circular,,,,16,0.075,,,X-90,410,,0.387,,,3.5,350,230,,,,1.0,1.9,29.3,5,1,PVC,,"0,6/1",,,copper,,Yes
Nexans_FTHC19AA003OMAA.pdf,174.3,,Rigid,,,,,,Orange,,0.494,50,,Class 2,Copper,Circular,,,,16,0.075,,,X-90,410,,0.387,,10,3.19,319,213,,,,1.0,1.8,26.6,3,1,PVC,,"0,6/1",,,copper,,Yes
Nexans_FTDP15AA003CXRJ.pdf,89.0,,,,Rigid,0.747,0.413,0.498,,7.5,1.47,,16,,Copper,Circular,Class 2,,17.5,,0.08,,,,520,PVC filler,1.15,,,2.54,,,380,255,,0.8,,21.2,3,3,PVC,,"0,6/1",Copper tape,,,,
Nexans_BDBC20AA001CXNA.pdf,73.0,,Rigid,,,,,,,,0.471,70,,Class 2,Copper,Circular,,,,,,0.108,0.092,X-90,270,,0.268,,5,1.8,180,120,,,,1.1,1.4,14.7,1,,PVC,,"0,6/1",,,copper,,
Nexans_DNHP15AA002OMAA.pdf,59.7,,Rigid,500,,,,,Orange,,1.4,16,,Class 2,Copper,Circular,,,,6,0.086,,,V-90,8.4,,1.15,,2,2.2,110,72,,,,1.0,1.8,18.0,2,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_FTHP15AA003OMAA.pdf,68.3,,Rigid,,,,,,Orange,,1.47,16,,Class 2,Copper,Circular,,,,6,0.081,,,X-90,520,,1.15,,3,2.24,112,75,,,,0.8,1.8,18.7,3,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_HNHP11AA004OMAA.pdf,52.0,,Rigid,,,,,,Orange,,3.75,6,,Class 2,Copper,Circular,,,,2.5,0.095,,,V-90,12,,3.08,,2,2,99,66,,,,1.0,1.8,16.5,4,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_BDBP28AA001CXNA.pdf,386.0,,Rigid,,,,,,,,0.062,400,,Class 2,Copper,Circular,,,,,,0.096,0.08,X-90,200,,0.047,,25,4,300,200,,,,2.0,1.9,33.3,1,,PVC,,"0,6/1",,Stranded copper,,,
Nexans_FNHP09AA003OMAA.pdf,34.0,,Rigid,,,,,,Orange,,5.61,4,,Class 2,Copper,Circular,,,,2.5,0.102,,,V-90,14,,4.61,,1,1.7,85,56,,,,1.0,1.8,14.1,3,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_FNHP11AA003OMAA.pdf,42.0,,Rigid,,,,,,Orange,,3.75,6,,Class 2,Copper,Circular,,,,2.5,0.097,,,V-90,12,,3.08,,1,1.8,91,60,,,,1.0,1.8,15.1,3,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_HNHC17AA004OMAA.pdf,136.0,,Rigid,,,,,,Orange,,0.884,25,,Class 2,Copper,Circular,,,,6,0.083,,,V-90,8.3,,0.727,,7,2.9,290,200,,,,1.2,1.8,24.5,4,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_HTHP26AA004OMAA.pdf,1100.0,,Rigid,,,,,,Orange,,0.1,240,,Class 2,Copper,Circular,,,,95,0.071,,,X-90,310,,0.075,,,7.6,760,510,,,,1.7,2.8,63.5,5,1,PVC,,"0,6/1",,,copper,,Yes
Nexans_FTDP13AA003CXRJ.pdf,65.1,,,,Rigid,0.618,0.342,0.412,,4.5,2.33,,10,,Copper,Circular,Class 2,,15.1,,0.083,,,,570,PVC filler,1.83,,,2.1,,,335,225,,0.7,,18.7,3,3,PVC,,"0,6/1",Copper tape,,,,
Nexans_FNHP07AA003OMAA.pdf,26.0,,Rigid,,,,,,Orange,,9.01,2.5,,Class 2,Copper,Circular,,,,2.5,0.102,,,V-90,14,,7.41,,0,1.5,74,49,,,,0.8,1.8,12.3,3,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_FTDC22AA003CXRJ.pdf,382.0,,,,Rigid,1.088,0.602,0.725,,48,0.248,,95,,Copper,Circular,Class 2,,32.8,,0.072,,,,330,PVC filler,0.193,,,4.43,,,665,445,,1.1,,36.9,3,3,PVC,,"0,6/1",Copper tape,,,,
Nexans_FNMP13AA003OMAA.pdf,108.0,Steel wires,Rigid,,,,,,Orange,,2.33,10,,Class 2,Copper,Circular,,18.4,,4,0.0906,,,V-90,9.9,,1.83,6,,2.7,400,270,,,15.9,1.0,,22.1,3,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_HNHC20AA004OMAA.pdf,339.0,,Rigid,,,,,,Orange,,0.327,70,,Class 2,Copper,Circular,,,,25,0.077,,,V-90,6.3,,0.268,,20,4.3,430,290,,,,1.4,2.1,35.8,4,1,PVC,,"0,6/1",,,copper,,Yes
Nexans_HTHP25AA004OMAA.pdf,842.0,,Rigid,,,,,,Orange,,0.129,185,,Class 2,Copper,Circular,,,,70,0.072,,,X-90,320,,0.099,,,6.7,500,330,,,,1.6,2.6,55.7,5,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_FTHC18AA003OMAA.pdf,128.7,,Rigid,,,,,,Orange,,0.669,35,,Class 2,Copper,Circular,,,,10,0.079,,,X-90,430,,0.524,,7,2.8,280,186,,,,0.9,1.8,23.3,3,1,PVC,,"0,6/1",,,copper,,Yes
Nexans_DNMP05AA002CXWW.pdf,37.0,Steel wires,Rigid,,,,,,,,17.3,1.5,,Class 2,Copper,Circular,,10.5,,1.5,0.111,,,V-90,17,,13.6,2,,1.7,250,170,,,8.7,0.8,,14.1,2,1,PVC,,"0,6/1",,Stranded copper,,,Yes
